"","agency_code","proj_code","s_id","o_id","h_no","samp_no","spec_id","o_latitude_GDA94","o_longitude_GDA94","o_date_desc","h_upper_depth","h_lower_depth","morphology","morphology_attribute","morphology_attribute_value"
"1","304","NAWRAQ","70","1","N/A","N/A","N/A",-16.05022,143.46207,"15072016","N/A","N/A","SURF_COARSE_FRAGS","scf_strength","S"
"2","601","SCEAM","N20","1","N/A","N/A","N/A",-41.7059437679491,146.925515821179,"27072005","N/A","N/A","SURF_COARSE_FRAGS","scf_strength","VS"
